request_id,created_at,closed_at,status,priority,category,subcategory,location,team,owner,channel,sla_hours,resolution_hours,reopened,satisfaction_score,last_updated_at,source_system
SR-100294,2026-05-21T08:35:25.543845Z,2026-05-22T04:44:09.163231Z,Closed,High,Account Access,Password reset,South Service Center,Technical Support,S. Rivera,Phone,16,20.15,No,,2026-05-22T04:44:09.163231Z,Service Portal
SR-100293,2026-05-21T08:47:47.869247Z,2026-05-21T20:29:45.062252Z,Closed,Normal,Account Access,Permission request,West Service Center,Technical Support,M. Chen,Web,48,11.70,No,4,2026-05-21T20:29:45.062252Z,Service Portal
SR-100297,2026-05-21T13:15:57.205575Z,2026-05-22T04:26:48.698595Z,Closed,Normal,Account Access,Password reset,South Service Center,Technical Support,S. Rivera,Web,48,15.18,No,5,2026-05-22T04:26:48.698595Z,Service Portal
SR-100295,2026-05-21T13:26:03.580852Z,2026-05-21T18:30:52.804517Z,Closed,High,Account Access,Permission request,Central Service Center,Technical Support,A. Patel,Email,16,5.08,No,4,2026-05-21T18:30:52.804517Z,Contact Center
SR-100298,2026-05-21T15:35:12.667528Z,2026-05-24T02:53:08.115333Z,Closed,Normal,Permit & Compliance,Documentation review,Central Service Center,Compliance Services,I. Adams,Phone,48,59.30,No,,2026-05-24T02:53:08.115333Z,Field App
SR-100291,2026-05-21T16:28:44.742901Z,2026-05-22T03:05:33.301351Z,Closed,Normal,Account Access,Identity verification,Central Service Center,Technical Support,J. Brooks,Web,48,10.61,No,5,2026-05-22T03:05:33.301351Z,Service Portal
SR-100289,2026-05-21T17:28:20.773719Z,2026-05-22T17:06:14.849879Z,Closed,Normal,General Inquiry,Service information,Remote,Customer Care,B. Martin,Web,48,23.63,No,5,2026-05-22T17:06:14.849879Z,Service Portal
SR-100296,2026-05-21T18:18:28.396314Z,2026-05-23T22:43:51.210149Z,Closed,High,Equipment & Maintenance,Device repair,Remote,Field Operations,N. Lewis,Phone,16,52.42,No,,2026-05-23T22:43:51.210149Z,Service Portal
SR-100292,2026-05-21T19:40:55.207223Z,2026-05-23T07:25:13.366617Z,Closed,Normal,Billing & Payments,Invoice question,Remote,Billing Operations,L. Moore,Web,48,35.74,No,,2026-05-23T07:25:13.366617Z,Contact Center
SR-100290,2026-05-21T20:34:21.572221Z,2026-05-23T10:51:28.435334Z,Closed,Normal,General Inquiry,Service information,South Service Center,Customer Care,D. Wilson,Web,48,38.29,No,,2026-05-23T10:51:28.435334Z,Contact Center
SR-100306,2026-05-22T08:43:41.693843Z,2026-05-23T00:50:48.976455Z,Closed,Normal,Billing & Payments,Refund request,North Service Center,Billing Operations,C. Davis,Phone,48,16.12,No,5,2026-05-23T00:50:48.976455Z,Service Portal
SR-100302,2026-05-22T09:25:23.851543Z,2026-05-23T18:19:13.282937Z,Closed,Normal,Delivery & Fulfillment,Address correction,North Service Center,Customer Care,K. Johnson,Web,48,32.90,No,,2026-05-23T18:19:13.282937Z,Field App
SR-100302,2026-05-22T09:25:23.851543Z,2026-05-23T18:19:13.282937Z,Closed,Normal,Delivery & Fulfillment,Address correction,North Service Center,Customer Care,K. Johnson,Web,48,32.90,No,,2026-08-23T19:45:18.016765Z,Field App
SR-100308,2026-05-22T11:17:40.612337Z,2026-05-24T05:42:28.377385Z,Closed,Normal,Billing & Payments,Invoice question,South Service Center,Billing Operations,R. Williams,Web,48,42.41,No,4,2026-05-24T05:42:28.377385Z,Contact Center
SR-100304,2026-05-22T11:21:39.312801Z,2026-05-23T11:35:30.482999Z,Closed,Normal,Delivery & Fulfillment,Address correction,West Service Center,Customer Care,E. Thompson,Email,48,24.23,No,,2026-05-23T11:35:30.482999Z,Service Portal
SR-100303,2026-05-22T13:01:13.128203Z,2026-05-25T02:42:31.716594Z,Closed,Low,Permit & Compliance,Application status,North Service Center,Compliance Services,I. Adams,Phone,96,61.69,No,,2026-05-25T02:42:31.716594Z,Service Portal
SR-100305,2026-05-22T13:53:19.812120Z,2026-05-23T20:49:25.616374Z,Closed,High,Equipment & Maintenance,Preventive maintenance,North Service Center,Field Operations,H. Clark,Mobile,16,30.93,No,3,2026-05-23T20:49:25.616374Z,Contact Center
SR-100300,2026-05-22T14:34:59.766674Z,2026-05-26T00:58:04.874407Z,Closed,Normal,Permit & Compliance,Documentation review,North Service Center,Compliance Services,F. Wright,Mobile,48,82.38,No,,2026-05-26T00:58:04.874407Z,Contact Center
SR-100307,2026-05-22T15:05:03.144246Z,2026-05-27T23:23:13.967469Z,Closed,Normal,Permit & Compliance,Application status,South Service Center,Compliance Services,I. Adams,Mobile,48,128.30,Yes,3,2026-05-27T23:23:13.967469Z,Contact Center
SR-100299,2026-05-22T15:24:51.437916Z,2026-05-23T03:26:07.416666Z,Closed,Normal,Account Access,Identity verification,North Service Center,Technical Support,M. Chen,Phone,48,12.02,No,4,2026-05-23T03:26:07.416666Z,Contact Center
SR-100301,2026-05-22T16:58:13.829367Z,2026-05-23T05:07:59.266817Z,Closed,High,Account Access,Identity verification,Remote,Technical Support,A. Patel,Phone,16,12.16,No,4,2026-05-23T05:07:59.266817Z,Contact Center
SR-100309,2026-05-22T20:28:35.868988Z,2026-05-25T07:27:08.694250Z,Closed,High,Billing & Payments,Invoice question,Remote,Billing Operations,L. Moore,Web,16,58.98,No,5,2026-05-25T07:27:08.694250Z,Field App
SR-100313,2026-05-23T10:23:16.280441Z,2026-05-24T15:34:43.079160Z,Closed,Normal,Delivery & Fulfillment,Address correction,North Service Center,Customer Care,B. Martin,Phone,48,29.19,No,5,2026-05-24T15:34:43.079160Z,Service Portal
SR-100311,2026-05-23T11:10:26.707360Z,2026-05-24T02:26:31.260783Z,Closed,Normal,Account Access,Identity verification,North Service Center,Technical Support,M. Chen,Email,48,15.27,No,4,2026-05-24T02:26:31.260783Z,Field App
SR-100314,2026-05-23T11:48:25.446501Z,2026-05-28T04:25:40.060786Z,Closed,Normal,Equipment & Maintenance,Replacement request,West Service Center,Field Operations,H. Clark,Web,48,112.62,No,3,2026-05-28T04:25:40.060786Z,Service Portal
SR-100315,2026-05-23T13:12:21.423285Z,2026-05-23T19:31:01.517426Z,Closed,Critical,Account Access,Password reset,South Service Center,Technical Support,A. Patel,Email,4,6.31,No,4,2026-05-23T19:31:01.517426Z,Contact Center
SR-100310,2026-05-23T13:16:22.861039Z,2026-05-25T00:28:34.503855Z,Closed,Low,Permit & Compliance,Policy clarification,Central Service Center,Compliance Services,F. Wright,Email,96,35.20,No,4,2026-05-25T00:28:34.503855Z,Service Portal
SR-100312,2026-05-23T13:57:38.275560Z,2026-05-24T20:47:39.478648Z,Closed,Normal,Delivery & Fulfillment,Address correction,Remote,Customer Care,D. Wilson,Phone,48,30.83,No,4,2026-05-24T20:47:39.478648Z,Service Portal
SR-100325,2026-05-24T09:27:53.601606Z,2026-05-26T07:57:27.750943Z,Closed,Normal,Delivery & Fulfillment,Damaged item,West Service Center,Customer Care,K. Johnson,Web,48,46.49,No,4,2026-05-26T07:57:27.750943Z,Service Portal
SR-100316,2026-05-24T10:07:46.537697Z,2026-05-24T23:29:26.927370Z,Closed,High,Delivery & Fulfillment,Late delivery,Central Service Center,Customer Care,B. Martin,Web,16,13.36,No,,2026-05-24T23:29:26.927370Z,Field App
SR-100324,2026-05-24T11:00:25.602977Z,2026-05-27T08:29:08.249125Z,Closed,Low,Billing & Payments,Payment failure,Remote,Billing Operations,T. Nguyen,Email,96,69.48,No,,2026-05-27T08:29:08.249125Z,Contact Center
SR-100326,2026-05-24T11:56:58.827937Z,2026-05-25T02:41:47.713274Z,Closed,Normal,Account Access,Permission request,North Service Center,Technical Support,S. Rivera,Web,48,14.75,No,,2026-05-25T02:41:47.713274Z,Field App
SR-100317,2026-05-24T12:14:31.163994Z,2026-05-25T09:31:53.206140Z,Closed,High,General Inquiry,Service information,North Service Center,Customer Care,E. Thompson,Walk-in,16,21.29,No,4,2026-05-25T09:31:53.206140Z,Service Portal
SR-100320,2026-05-24T15:17:17.933754Z,2026-05-24T21:46:17.399238Z,Closed,Normal,Account Access,Permission request,Remote,Technical Support,J. Brooks,Email,48,6.48,No,4,2026-05-24T21:46:17.399238Z,Field App
SR-100321,2026-05-24T16:15:40.094442Z,2026-05-25T04:42:05.611774Z,Closed,High,General Inquiry,Feedback,Remote,Customer Care,D. Wilson,Web,16,12.44,Yes,4,2026-05-25T04:42:05.611774Z,Service Portal
SR-100322,2026-05-24T17:51:05.885593Z,2026-05-26T18:00:45.563843Z,Closed,Low,Billing & Payments,Refund request,South Service Center,Billing Operations,C. Davis,Walk-in,96,48.16,No,4,2026-05-26T18:00:45.563843Z,Field App
SR-100318,2026-05-24T18:12:48.462129Z,2026-05-25T15:31:48.438517Z,Closed,Normal,Delivery & Fulfillment,Damaged item,Central Service Center,Customer Care,E. Thompson,Web,48,21.32,No,4,2026-05-25T15:31:48.438517Z,Service Portal
SR-100323,2026-05-24T20:01:16.374763Z,2026-05-24T21:28:45.638746Z,Closed,Critical,Account Access,Identity verification,West Service Center,Technical Support,S. Rivera,Mobile,4,1.46,No,5,2026-05-24T21:28:45.638746Z,Contact Center
SR-100319,2026-05-24T20:05:55.362948Z,2026-05-25T01:28:16.358713Z,Closed,High,Account Access,Password reset,South Service Center,Technical Support,M. Chen,Web,16,5.37,No,4,2026-05-25T01:28:16.358713Z,Contact Center
SR-100328,2026-05-25T08:15:17.213874Z,2026-05-26T01:01:15.196612Z,Closed,Normal,Account Access,Permission request,Central Service Center,Technical Support,M. Chen,Web,48,16.77,No,4,2026-05-26T01:01:15.196612Z,Contact Center
SR-100330,2026-05-25T08:26:57.908780Z,2026-05-25T18:52:23.430735Z,Closed,High,Account Access,Identity verification,North Service Center,Technical Support,J. Brooks,Email,16,10.42,No,,2026-05-25T18:52:23.430735Z,Service Portal
SR-100327,2026-05-25T08:59:16.820676Z,2026-05-29T14:30:44.657960Z,Closed,Normal,Permit & Compliance,Application status,Central Service Center,Compliance Services,F. Wright,Email,48,101.52,No,2,2026-05-29T14:30:44.657960Z,Field App
SR-100331,2026-05-25T10:43:53.455551Z,2026-05-25T18:09:22.230547Z,Closed,Normal,Account Access,Password reset,South Service Center,,A. Patel,Email,48,7.42,No,4,2026-05-25T18:09:22.230547Z,Contact Center
SR-100332,2026-05-25T12:57:39.621502Z,2026-05-27T03:58:55.345187Z,Closed,Normal,Billing & Payments,Invoice question,West Service Center,Billing Operations,R. Williams,Walk-in,48,39.02,No,5,2026-05-27T03:58:55.345187Z,Service Portal
SR-100333,2026-05-25T14:35:58.580785Z,2026-05-27T01:59:09.500310Z,Closed,Normal,Delivery & Fulfillment,Late delivery,South Service Center,Customer Care,D. Wilson,Phone,48,35.39,No,5,2026-05-27T01:59:09.500310Z,Service Portal
SR-100338,2026-05-25T15:12:15.370404Z,2026-05-26T19:55:35.506933Z,Closed,High,Billing & Payments,Invoice question,North Service Center,Billing Operations,T. Nguyen,Email,16,28.72,No,5,2026-05-26T19:55:35.506933Z,Field App
SR-100329,2026-05-25T16:50:41.264433Z,2026-05-30T05:43:05.457315Z,Closed,Normal,Equipment & Maintenance,Replacement request,South Service Center,Field Operations,N. Lewis,Web,48,108.87,No,,2026-05-30T05:43:05.457315Z,Service Portal
SR-100334,2026-05-25T17:12:49.829471Z,2026-05-26T17:21:25.510897Z,Closed,Normal,Billing & Payments,Invoice question,North Service Center,Billing Operations,T. Nguyen,Phone,48,24.14,No,,2026-05-26T17:21:25.510897Z,Service Portal
SR-100335,2026-05-25T17:13:14.624863Z,2026-05-29T01:46:17.534031Z,Closed,Low,Permit & Compliance,Policy clarification,West Service Center,Compliance Services,F. Wright,Email,96,80.55,No,5,2026-05-29T01:46:17.534031Z,Contact Center
SR-100336,2026-05-25T17:36:10.223490Z,2026-05-28T04:09:02.866084Z,Closed,Normal,Delivery & Fulfillment,Address correction,North Service Center,Customer Care,K. Johnson,Web,48,58.55,No,5,2026-05-28T04:09:02.866084Z,Field App
SR-100337,2026-05-25T20:47:31.027648Z,2026-05-28T09:57:07.748055Z,Closed,Low,Delivery & Fulfillment,Late delivery,North Service Center,Customer Care,D. Wilson,Mobile,96,61.16,No,5,2026-05-28T09:57:07.748055Z,Service Portal
SR-100347,2026-05-26T09:35:00.203115Z,2026-05-31T00:01:55.012037Z,Closed,Normal,Equipment & Maintenance,Replacement request,West Service Center,Field Operations,V. Hall,Web,48,110.45,No,4,2026-05-31T00:01:55.012037Z,Service Portal
SR-100340,2026-05-26T11:21:07.256420Z,2026-05-27T10:22:33.245728Z,Closed,Low,General Inquiry,Status request,South Service Center,Customer Care,K. Johnson,Web,96,23.02,No,4,2026-05-27T10:22:33.245728Z,Service Portal
SR-100348,2026-05-26T11:40:56.861813Z,2026-05-27T19:15:45.955081Z,Closed,Critical,Permit & Compliance,Policy clarification,North Service Center,Compliance Services,F. Wright,Mobile,4,31.58,No,,2026-05-27T19:15:45.955081Z,Contact Center
SR-100343,2026-05-26T13:12:22.833292Z,2026-05-26T20:57:22.958969Z,Closed,Critical,Delivery & Fulfillment,Address correction,South Service Center,Customer Care,D. Wilson,Web,4,7.75,No,3,2026-05-26T20:57:22.958969Z,Service Portal
SR-100342,2026-05-26T13:46:44.720596Z,2026-05-27T07:51:35.084085Z,Closed,High,Billing & Payments,Refund request,South Service Center,Billing Operations,L. Moore,Email,16,18.08,Yes,2,2026-05-27T07:51:35.084085Z,Service Portal
SR-100344,2026-05-26T15:04:04.616574Z,2026-05-27T22:51:17.604042Z,Closed,High,Billing & Payments,Refund request,South Service Center,Billing Operations,L. Moore,Web,16,31.79,No,4,2026-05-27T22:51:17.604042Z,Contact Center
SR-100346,2026-05-26T16:53:50.506521Z,2026-05-27T00:57:14.051992Z,Closed,High,Account Access,Password reset,Central Service Center,Technical Support,S. Rivera,Phone,16,8.06,No,5,2026-05-27T00:57:14.051992Z,Service Portal
SR-100345,2026-05-26T17:52:03.258734Z,2026-05-29T08:16:18.395739Z,Closed,High,Permit & Compliance,Policy clarification,Central Service Center,Compliance Services,I. Adams,Web,16,62.40,No,4,2026-05-29T08:16:18.395739Z,Service Portal
SR-100341,2026-05-26T18:33:33.109044Z,2026-05-27T10:04:55.234635Z,Closed,High,Billing & Payments,Refund request,Central Service Center,Billing Operations,L. Moore,Mobile,16,15.52,No,4,2026-05-27T10:04:55.234635Z,Service Portal
SR-100339,2026-05-26T20:17:07.201614Z,2026-05-27T10:44:09.220499Z,Closed,Normal,Account Access,Identity verification,South Service Center,Technical Support,J. Brooks,Phone,48,14.45,No,4,2026-05-27T10:44:09.220499Z,Service Portal
SR-100354,2026-05-27T08:27:19.569231Z,2026-05-29T05:09:25.941208Z,Closed,Low,Equipment & Maintenance,Replacement request,South Service Center,Field Operations,V. Hall,Web,96,44.70,No,5,2026-05-29T05:09:25.941208Z,Contact Center
SR-100353,2026-05-27T09:07:36.183689Z,2026-05-27T17:13:17.087341Z,Closed,Normal,Account Access,Permission request,Remote,Technical Support,A. Patel,Phone,48,8.09,No,5,2026-05-27T17:13:17.087341Z,Service Portal
SR-100352,2026-05-27T09:08:29.229628Z,2026-05-28T23:28:17.602876Z,Closed,High,Permit & Compliance,Policy clarification,Central Service Center,Compliance Services,I. Adams,Web,16,38.33,No,,2026-05-28T23:28:17.602876Z,Service Portal
SR-100356,2026-05-27T10:42:30.043846Z,2026-05-27T19:48:56.197613Z,Closed,Normal,Account Access,Identity verification,Central Service Center,Technical Support,A. Patel,Walk-in,48,9.11,No,5,2026-05-27T19:48:56.197613Z,Service Portal
SR-100360,2026-05-27T11:56:37.002127Z,2026-05-28T03:48:26.104122Z,Closed,High,Billing & Payments,Payment failure,North Service Center,Billing Operations,L. Moore,Web,16,15.86,No,,2026-05-28T03:48:26.104122Z,Contact Center
SR-100349,2026-05-27T11:57:07.314297Z,2026-05-28T08:02:51.895271Z,Closed,Normal,Account Access,Password reset,Central Service Center,Technical Support,S. Rivera,Walk-in,48,20.10,No,5,2026-05-28T08:02:51.895271Z,Field App
SR-100355,2026-05-27T13:13:43.255539Z,2026-05-28T12:03:38.164409Z,Closed,Normal,Account Access,Password reset,South Service Center,Technical Support,J. Brooks,Web,48,22.83,No,5,2026-05-28T12:03:38.164409Z,Service Portal
SR-100358,2026-05-27T13:16:14.124256Z,2026-05-27T19:31:05.657538Z,Closed,Normal,Account Access,Permission request,South Service Center,Technical Support,A. Patel,Phone,48,6.25,No,5,2026-05-27T19:31:05.657538Z,Contact Center
SR-100350,2026-05-27T14:34:01.989401Z,2026-05-28T02:11:10.240070Z,Closed,Normal,Account Access,Password reset,Central Service Center,Technical Support,J. Brooks,Web,48,11.62,Yes,5,2026-05-28T02:11:10.240070Z,Field App
SR-100351,2026-05-27T14:40:37.484965Z,2026-05-30T19:18:34.742615Z,Closed,Normal,Billing & Payments,Refund request,Remote,Billing Operations,L. Moore,Phone,48,76.63,No,,2026-05-30T19:18:34.742615Z,Service Portal
SR-100362,2026-05-27T17:29:28.904572Z,2026-05-29T03:55:34.243894Z,Closed,Normal,Delivery & Fulfillment,Late delivery,Remote,Customer Care,K. Johnson,Phone,48,34.43,No,,2026-05-29T03:55:34.243894Z,Service Portal
SR-100359,2026-05-27T18:41:59.102639Z,2026-05-29T07:43:55.382415Z,Closed,Normal,Billing & Payments,Payment failure,West Service Center,Billing Operations,L. Moore,Web,48,37.03,No,3,2026-05-29T07:43:55.382415Z,Service Portal
SR-100357,2026-05-27T19:51:14.317226Z,2026-05-28T20:18:24.377338Z,Closed,Normal,Billing & Payments,Refund request,South Service Center,Billing Operations,L. Moore,Web,48,24.45,No,,2026-05-28T20:18:24.377338Z,Service Portal
SR-100361,2026-05-27T20:40:20.769565Z,2026-05-28T22:34:19.472350Z,Closed,High,Billing & Payments,Payment failure,North Service Center,Billing Operations,C. Davis,Web,16,25.90,No,3,2026-05-28T22:34:19.472350Z,Field App
SR-100368,2026-05-28T07:57:44.042796Z,2026-05-28T20:39:52.354208Z,Closed,Normal,Account Access,Permission request,Central Service Center,Technical Support,J. Brooks,Email,48,12.70,No,5,2026-05-28T20:39:52.354208Z,Field App
SR-100364,2026-05-28T08:01:58.216016Z,2026-05-30T18:15:14.525572Z,Closed,Normal,Equipment & Maintenance,Device repair,West Service Center,Field Operations,P. Garcia,Mobile,48,58.22,No,4,2026-05-30T18:15:14.525572Z,Contact Center
SR-100373,2026-05-28T08:59:16.848864Z,2026-05-28T15:00:14.139669Z,Closed,Normal,Account Access,Permission request,West Service Center,Technical Support,S. Rivera,Email,48,6.02,No,4,2026-05-28T15:00:14.139669Z,Contact Center
SR-100371,2026-05-28T10:21:01.298283Z,2026-05-28T14:19:35.985877Z,Closed,High,Account Access,Identity verification,South Service Center,Technical Support,S. Rivera,Web,16,3.98,No,4,2026-05-28T14:19:35.985877Z,Service Portal
SR-100369,2026-05-28T10:33:07.961183Z,2026-05-31T05:48:10.492203Z,Closed,High,Equipment & Maintenance,Device repair,Central Service Center,Field Operations,H. Clark,Web,16,67.25,No,5,2026-05-31T05:48:10.492203Z,Contact Center
SR-100366,2026-05-28T11:47:12.009974Z,2026-05-29T20:28:18.475767Z,Closed,Normal,Billing & Payments,Payment failure,Central Service Center,Billing Operations,T. Nguyen,Web,48,32.69,No,,2026-05-29T20:28:18.475767Z,Contact Center
SR-100372,2026-05-28T12:58:08.735267Z,2026-05-30T15:36:56.434767Z,Closed,High,Billing & Payments,Invoice question,South Service Center,Billing Operations,R. Williams,Phone,16,50.65,No,4,2026-05-30T15:36:56.434767Z,Service Portal
SR-100367,2026-05-28T13:12:09.952333Z,2026-05-31T02:08:35.823081Z,Closed,Normal,Billing & Payments,Refund request,West Service Center,Billing Operations,L. Moore,Web,48,60.94,No,4,2026-05-31T02:08:35.823081Z,Field App
SR-100375,2026-05-28T14:33:52.732141Z,2026-05-30T12:29:09.495926Z,Closed,Normal,Delivery & Fulfillment,Late delivery,South Service Center,Customer Care,K. Johnson,Email,48,45.92,No,4,2026-05-30T12:29:09.495926Z,Service Portal
SR-100374,2026-05-28T15:03:39.963282Z,2026-05-29T14:58:20.518552Z,Closed,Normal,Equipment & Maintenance,Preventive maintenance,Central Service Center,Field Operations,V. Hall,Web,48,23.91,No,,2026-05-29T14:58:20.518552Z,Service Portal
SR-100365,2026-05-28T15:41:26.157845Z,2026-05-30T05:51:08.952781Z,Closed,Normal,Billing & Payments,Payment failure,Remote,Billing Operations,T. Nguyen,Web,48,38.16,Yes,3,2026-05-30T05:51:08.952781Z,Service Portal
SR-100363,2026-05-28T16:37:41.291964Z,2026-06-02T00:24:33.561993Z,Closed,Normal,Delivery & Fulfillment,Late delivery,North Service Center,Customer Care,E. Thompson,Phone,48,103.78,No,3,2026-06-02T00:24:33.561993Z,Service Portal
SR-100370,2026-05-28T17:14:55.778979Z,2026-05-29T16:56:14.192056Z,Closed,High,Delivery & Fulfillment,Address correction,South Service Center,Customer Care,E. Thompson,Web,16,23.69,No,4,2026-05-29T16:56:14.192056Z,Field App
SR-100376,2026-05-29T07:59:54.640516Z,2026-05-29T13:53:35.027884Z,Closed,High,Account Access,Permission request,North Service Center,Technical Support,S. Rivera,Walk-in,16,5.89,No,4,2026-05-29T13:53:35.027884Z,Service Portal
SR-100379,2026-05-29T08:43:14.386425Z,2026-05-31T19:11:35.909878Z,Closed,Normal,Permit & Compliance,Documentation review,Central Service Center,Compliance Services,F. Wright,Web,48,58.47,No,3,2026-05-31T19:11:35.909878Z,Service Portal
SR-100381,2026-05-29T09:43:21.827959Z,2026-05-31T00:00:15.858603Z,Closed,High,Billing & Payments,Payment failure,Central Service Center,Billing Operations,L. Moore,Mobile,16,38.28,No,4,2026-05-31T00:00:15.858603Z,Service Portal
SR-100378,2026-05-29T10:37:55.074148Z,2026-05-29T22:46:17.128001Z,Closed,Critical,Billing & Payments,Payment failure,South Service Center,Billing Operations,L. Moore,Phone,4,12.14,No,4,2026-05-29T22:46:17.128001Z,Service Portal
SR-100382,2026-05-29T12:38:40.094364Z,2026-05-30T12:43:37.941133Z,Closed,Normal,Billing & Payments,Payment failure,Remote,Billing Operations,R. Williams,Email,48,24.08,No,,2026-05-30T12:43:37.941133Z,Contact Center
SR-100383,2026-05-29T13:57:12.555017Z,2026-06-01T00:01:51.931797Z,Closed,Normal,Equipment & Maintenance,Device repair,Central Service Center,Field Operations,P. Garcia,Web,48,58.08,No,4,2026-06-01T00:01:51.931797Z,Service Portal
SR-100377,2026-05-29T15:14:41.070683Z,2026-05-30T00:17:49.440475Z,Closed,Critical,Delivery & Fulfillment,Address correction,Remote,Customer Care,B. Martin,Phone,4,9.05,No,3,2026-05-30T00:17:49.440475Z,Service Portal
SR-100384,2026-05-29T17:11:07.064155Z,2026-06-01T17:53:07.531076Z,Closed,Low,Equipment & Maintenance,Preventive maintenance,North Service Center,Field Operations,N. Lewis,Web,96,72.70,No,,2026-06-01T17:53:07.531076Z,Contact Center
SR-100380,2026-05-29T20:04:14.086139Z,2026-05-31T19:10:31.001851Z,Closed,Normal,Equipment & Maintenance,Replacement request,Central Service Center,Field Operations,P. Garcia,Email,48,47.10,No,5,2026-05-31T19:10:31.001851Z,Service Portal
SR-100389,2026-05-30T08:35:06.603513Z,2026-06-01T04:42:59.935463Z,Closed,Low,Permit & Compliance,Policy clarification,Central Service Center,Compliance Services,G. Baker,Email,96,44.13,No,,2026-06-01T04:42:59.935463Z,Contact Center
SR-100392,2026-05-30T09:14:51.713097Z,2026-06-01T04:01:41.103209Z,Closed,Normal,Delivery & Fulfillment,Address correction,North Service Center,Customer Care,E. Thompson,Web,48,42.78,No,4,2026-06-01T04:01:41.103209Z,Service Portal
SR-100388,2026-05-30T09:42:11.491767Z,2026-05-31T12:45:20.643338Z,Closed,Normal,Billing & Payments,Refund request,Central Service Center,Billing Operations,R. Williams,Web,48,27.05,Yes,4,2026-05-31T12:45:20.643338Z,Service Portal
SR-100391,2026-05-30T11:39:31.269522Z,2026-05-30T19:38:07.833718Z,Closed,Critical,Billing & Payments,Payment failure,Remote,Billing Operations,R. Williams,Phone,4,7.98,No,4,2026-05-30T19:38:07.833718Z,Service Portal
SR-100387,2026-05-30T11:51:21.414819Z,2026-05-31T19:51:59.862311Z,Closed,Normal,Billing & Payments,Refund request,Central Service Center,Billing Operations,R. Williams,Mobile,48,32.01,No,,2026-05-31T19:51:59.862311Z,Service Portal
SR-100386,2026-05-30T14:04:05.356995Z,2026-06-01T00:12:32.796308Z,Closed,Low,Billing & Payments,Payment failure,Remote,Billing Operations,R. Williams,Phone,96,34.14,No,,2026-06-01T00:12:32.796308Z,Service Portal
SR-100385,2026-05-30T15:58:37.340911Z,2026-06-01T09:50:30.034797Z,Closed,Normal,Billing & Payments,Refund request,South Service Center,Billing Operations,R. Williams,Email,48,41.86,No,4,2026-06-01T09:50:30.034797Z,Service Portal
SR-100390,2026-05-30T19:26:59.605120Z,2026-06-01T09:15:39.647386Z,Closed,Normal,Equipment & Maintenance,Preventive maintenance,Central Service Center,Field Operations,P. Garcia,Mobile,48,37.81,No,3,2026-06-01T09:15:39.647386Z,Service Portal
SR-100393,2026-05-30T19:33:23.477900Z,2026-06-05T07:22:10.516650Z,Closed,Low,Billing & Payments,Refund request,West Service Center,Billing Operations,L. Moore,Web,96,131.81,Yes,3,2026-06-05T07:22:10.516650Z,Service Portal
SR-100400,2026-05-31T08:08:12.330829Z,2026-06-02T03:34:22.991120Z,Closed,Low,Permit & Compliance,Documentation review,Central Service Center,Compliance Services,I. Adams,Email,96,43.44,No,4,2026-06-02T03:34:22.991120Z,Service Portal
SR-100398,2026-05-31T08:54:15.527872Z,2026-06-01T14:05:31.119172Z,Closed,Normal,Account Access,Password reset,North Service Center,Technical Support,J. Brooks,Email,48,29.19,Yes,,2026-06-01T14:05:31.119172Z,Contact Center
SR-100399,2026-05-31T10:07:43.809554Z,2026-06-01T16:20:50.212667Z,Closed,High,Delivery & Fulfillment,Address correction,Central Service Center,Customer Care,B. Martin,Mobile,16,30.22,No,4,2026-06-01T16:20:50.212667Z,Service Portal
SR-100402,2026-05-31T10:25:51.761505Z,2026-06-01T14:33:48.130036Z,Closed,High,Equipment & Maintenance,Preventive maintenance,South Service Center,Field Operations,P. Garcia,Phone,16,28.13,No,4,2026-06-01T14:33:48.130036Z,Field App
SR-100397,2026-05-31T11:45:19.967521Z,2026-06-01T01:34:54.972719Z,Closed,Normal,Account Access,Password reset,South Service Center,Technical Support,M. Chen,Mobile,48,13.83,Yes,5,2026-06-01T01:34:54.972719Z,Service Portal
SR-100394,2026-05-31T14:35:10.311923Z,2026-05-31T20:51:40.906142Z,Closed,Normal,Account Access,Permission request,West Service Center,Technical Support,J. Brooks,Web,48,6.28,Yes,3,2026-05-31T20:51:40.906142Z,Service Portal
SR-100401,2026-05-31T15:46:16.790221Z,2026-06-04T01:48:19.191232Z,Closed,Low,Permit & Compliance,Policy clarification,South Service Center,Compliance Services,O. Scott,Email,96,82.03,No,,2026-06-04T01:48:19.191232Z,Service Portal
SR-100395,2026-05-31T18:11:30.667417Z,2026-06-04T11:35:14.291076Z,Closed,Normal,Permit & Compliance,Documentation review,North Service Center,Compliance Services,G. Baker,Web,48,89.40,No,,2026-06-04T11:35:14.291076Z,Service Portal
SR-100396,2026-05-31T20:02:07.050005Z,2026-06-02T01:52:27.378926Z,Closed,Normal,General Inquiry,Service information,South Service Center,Customer Care,B. Martin,Web,48,29.84,No,,2026-06-02T01:52:27.378926Z,Contact Center
SR-100406,2026-06-01T07:57:25.772625Z,2026-06-01T09:25:28.492519Z,Closed,Critical,Account Access,Permission request,Remote,Technical Support,M. Chen,Mobile,4,1.47,No,4,2026-06-01T09:25:28.492519Z,Service Portal
